Question,Template
How many cookies can be seen? <extra_id_0>,There are [mask] cookies visible.
What color are the dishes? <extra_id_0>,The color of the dishes is [mask].
What is the green stuff? <extra_id_0>,The green stuff is [mask].
Does this bike have training wheels? <extra_id_0>,This bike does not have training wheels.
How many girls are visible? <extra_id_0>,There are [mask] girls visible.
Is the picnic table red? <extra_id_0>,The picnic table is red.
Is this a clean room? <extra_id_0>,This room is clean.
How many colors are in the tile? <extra_id_0>,There are [mask] colors in the tile.
What is the floor made of? <extra_id_0>,The floor is [mask].
Is this bathroom clean? <extra_id_0>,This bathroom is clean.
Is the room clean? <extra_id_0>,The room is clean.
What color is the water in the bathtub? <extra_id_0>,The water in the bathtub is [mask].
Is there a mirror in the bathroom? <extra_id_0>,There is no mirror in the bathroom.
What is the ratio of white tiles to blue? <extra_id_0>,The ratio of white tiles to blue is [mask].
Is there a green plant in this room? <extra_id_0>,This room is green.
What power tool is present? <extra_id_0>,The power tool is [mask].
Is this room clean? <extra_id_0>,This room is clean.
What fruit is present? <extra_id_0>,The fruit is [mask].
What color are these mattresses? <extra_id_0>,The color of these mattresses is [mask].
Which room is this? <extra_id_0>,The [mask] room is this.
Where is the cat sitting? <extra_id_0>,The cat is sitting in [mask].
What do you think the cat is looking at? <extra_id_0>,The cat is looking at [mask].
Is the cat trying to catch a bird? <extra_id_0>,The cat is trying to catch a bird.
What utensil is sitting next to the food? <extra_id_0>,The utensil is [mask].
What is in the jug? <extra_id_0>,The jug is [mask].
What is the name of this crusted food? <extra_id_0>,The name of this crusted food is [mask].
What color are the items on the truck? <extra_id_0>,The items on the truck are [mask].
Is the writing in French? <extra_id_0>,The writing is in French.
Is this a traveling circus? <extra_id_0>,This is a traveling circus.
What animal is on the flatbed? <extra_id_0>,The animal on the flatbed is [mask].
What room of the house is this? <extra_id_0>,The room of the house is [mask].
What is the floor made out of? <extra_id_0>,The floor is made out of [mask].
What do you use the stove for? <extra_id_0>,The stove is for [mask].
What is the batter wearing on his ankles? <extra_id_0>,The batter is wearing [mask].
Are there long lenses? <extra_id_0>,There are long lenses.
What is the crouching man in the mask called? <extra_id_0>,The crouching man is [mask].
How many people are standing next to each other? <extra_id_0>,There are [mask] people standing next to each other.
What are the two women carrying? <extra_id_0>,The two women are carrying [mask].
What are these people holding? <extra_id_0>,The people are holding [mask].
How many rackets? <extra_id_0>,There are [mask] rackets.
How many people are in this photo? <extra_id_0>,There are [mask] people in this photo.
What is the woman wearing on her neck? <extra_id_0>,The woman is wearing [mask].
Is everyone wearing long sleeves? <extra_id_0>,Everyone is wearing long sleeves.
What sports are they playing? <extra_id_0>,The sports are [mask].
What is the approximate time period of this photo? <extra_id_0>,The approximate time period of this photo is [mask].
How many girls are in the picture? <extra_id_0>,There are [mask] girls in the picture.
Which two are actually playing? <extra_id_0>,The [mask] two are actually playing.
Are the woman wearing short dresses? <extra_id_0>,The woman is wearing short dresses.
Is the lady smiling? <extra_id_0>,The lady is smiling.
Do they play for Red Sox? <extra_id_0>,This animal does not play for Red Sox.
What are the ladies doing? <extra_id_0>,The ladies are doing [mask].
"What three letter word, best describes the liquid container on the ground between the two people? <extra_id_0>",The liquid container is [mask].
What does the wall say on the far left? <extra_id_0>,The wall on the far left say [mask].
Is this a mixed race group? <extra_id_0>,This group is mixed race.
Are these people getting reading to go play sports? <extra_id_0>,This person is not reading.
Is there any females? <extra_id_0>,There are no females.
How many people don't have a skateboard? <extra_id_0>,There are [mask] people.
How many of the four main individuals are wearing baseball caps? <extra_id_0>,There are [mask] baseball caps.
How many racquets? <extra_id_0>,There are [mask] racquets.
What is the woman wearing? <extra_id_0>,The woman is wearing [mask].
What type of photo is this? <extra_id_0>,The photo is [mask].
Is this a shop? <extra_id_0>,This is a shop.
What sport is this? <extra_id_0>,The sport is [mask].
What are the people holding? <extra_id_0>,The people are holding [mask].
How many legs are in the image? <extra_id_0>,There are [mask] legs in the image.
What is the group of people holding in their hand? <extra_id_0>,The group of people is holding [mask].
Are they happy? <extra_id_0>,This animal is happy.
Is the game live or on television? <extra_id_0>,The game is live or on television.
Are the trying to fix the train? <extra_id_0>,The train is not moving.
What color is the locomotive? <extra_id_0>,The color of the locomotive is [mask].
Is the train black? <extra_id_0>,The train is black.
Is this an evening scene? <extra_id_0>,This is an evening scene.
What color is the sky? <extra_id_0>,The sky is [mask].
Is this a desert scene? <extra_id_0>,This is a desert scene.
How many passengers does this bus carry? <extra_id_0>,There are [mask] passengers.
Is this a city street? <extra_id_0>,This street is a city street.
How would you call for more information about the bus?,<BLANK>
How would you call for more information about the bus? <extra_id_0>,[mask].
Which direction is the turn lane going? <extra_id_0>,The [mask] direction is the turn lane going.
Is she wearing a bonnet? <extra_id_0>,She is wearing a bonnet.
Was the woman's collar treated with starch? <extra_id_0>,The woman's collar was treated.
What pattern does the woman have on? <extra_id_0>,The pattern is [mask].
Where is this? <extra_id_0>,The location of this is [mask].
Is it going to storm? <extra_id_0>,It is going to storm.
What kind of animal is on the beach? <extra_id_0>,The animal on the beach is [mask].
What is running across the beach? <extra_id_0>,The animal on the beach is [mask].
How many open umbrellas are there on the beach? <extra_id_0>,There are [mask] open umbrellas.
How many umbrellas do you see? <extra_id_0>,There are [mask] umbrellas.
What is causing the smoke? <extra_id_0>,The cause of the smoke is [mask].
How many striped objects are in the photo? <extra_id_0>,There are [mask] striped objects.
What ethnicity is the man? <extra_id_0>,The man is [mask].
What color is the carpet in the middle of the floor? <extra_id_0>,The carpet in the middle of the floor is [mask].
Does this room have a low ceiling? <extra_id_0>,This room has a low ceiling.
What color hat is this man wearing? <extra_id_0>,The man is wearing [mask].
What color are the shoelaces? <extra_id_0>,The shoelaces are [mask].
Is the man wearing shorts or pants? <extra_id_0>,The man is wearing shorts.
Is a person wearing a hooded sweatshirt? <extra_id_0>,This person is wearing a sweatshirt.
Is he wearing a helmet? <extra_id_0>,He is wearing a helmet.
Which way is the man's hat facing? <extra_id_0>,The [mask] man's hat facing.
What color is the guy's shirt? <extra_id_0>,The color of the guy's shirt is [mask].
